,,,Frames,Time,Calcium,Diameter
FPS,3.902,,,,,
Frame Avg,2,,,,,
Hz,1.951,,,,,
# Frames,600,,,,,
s/frame,0.512,,,,,
Total time (s),307.2,,,,,
Total time (min),5.12,,,,,
Pixel res,256,,,,,
Zoom,2,,,,,
Pixels/um,0.855,,,,,
,,,97,49.201,-0.009960888,101.838558
,,,98,49.714,-0.058860255,97.21376148
,,,99,50.226,0.069240478,96.36557527
,,,100,50.739,0.050296288,106.8190429
,,,101,51.251,0.039241928,96.1895263
,,,102,51.764,0.080294837,106.1462528
,,,103,52.276,-0.095318057,100.1193634
,,,104,52.789,-0.05604247,98.55170187
,,,105,53.301,0.043576959,99.84318637
,,,106,53.814,-0.055695727,103.456063
,,,107,54.326,-0.002894738,105.8397198
,,,108,54.839,-0.072992555,113.2216022
,,,109,55.351,-0.001724314,98.8833331
,,,110,55.864,0.002957537,107.6400578
,,,111,56.376,0.122821697,96.41897397
,,,112,56.889,0.010240471,100.9748982
,,,113,57.401,0.01262469,113.8143869
,,,114,57.914,-0.080752269,104.0290249
,,,115,58.426,-0.100086653,103.7136436
,,,116,58.939,-0.023052724,98.7404102
,,,117,59.451,-0.133683297,104.1517811
,,,118,59.964,0.012451279,96.71073923
,,,119,60.476,-0.005148998,99.43072047
,,,120,60.989,-0.000987378,95.5701967
,,,121,61.501,0.018477044,106.594659
,,,122,62.014,-0.051794184,103.1650035
,,,123,62.526,-0.050537016,102.0135924
,,,124,63.039,-0.023356252,110.8707716
,,,125,63.551,-0.051143914,99.54163767
,,,126,64.064,-0.038312154,105.4527667
,,,127,64.577,-0.008963875,107.4524963
,,,128,65.089,0.106001728,103.3901196
,,,129,65.602,0.043186844,113.4719665
,,,130,66.114,-0.030682478,95.59132504
,,,131,66.627,0.050469698,89.57126374
,,,132,67.139,-0.006189383,96.29237151
,,,133,67.652,-0.093063876,93.80995404
,,,134,68.164,-0.115129222,91.80793076
,,,135,68.677,-0.070304808,95.86659343
,,,136,69.189,-0.07082504,95.06421912
,,,137,69.702,-0.025697178,101.2621379
,,,138,70.214,0.047348464,100.2586252
,,,139,70.727,-0.053398095,101.6712691
,,,140,71.239,-0.032373134,101.7273673
,,,141,71.752,-0.066533303,91.91404887
,,,142,72.264,-0.04416443,94.10493045
,,,143,72.777,-0.026130665,92.23793451
,,,144,73.289,-0.061548003,102.2093671
,,,145,73.802,-0.068484114,94.89624215
,,,146,74.314,-0.027344461,87.17923502
,,,147,74.827,-0.026477486,94.92239895
,,,148,75.339,-0.025653805,88.58849129
,,,149,75.852,0.018303634,96.26218312
,,,150,76.364,-0.039092463,96.95280215
,,,151,76.877,-0.048629577,91.69830155
,,,152,77.389,-0.024526675,97.37378996
,,,153,77.902,-0.044641289,101.8467711
,,,154,78.414,0.057449182,100.1486608
,,,155,78.927,0.03204574,96.81562228
,,,156,79.439,0.065035486,98.80430691
,,,157,79.952,-0.031896274,103.3191654
,,,158,80.464,0.055281588,98.62209146
,,,159,80.977,0.070237569,106.7004154
,,,160,81.489,0.006425593,99.04884877
,,,161,82.002,0.025889937,102.2067999
